Rank,Candidate ID,Final Score,Match Label,Current Title,Experience (Years),Skills Score,Title Score,Career Score,Availability Score,Experience Score,Education Score,GitHub Score
27,CAND_0083307,78.8%,Good Match,Search Engineer,7.8,62%,100%,90%,39%,100%,100%,69%
28,CAND_0065195,78.7%,Good Match,Search Engineer,5.1,40%,100%,100%,69%,100%,100%,87%
29,CAND_0020350,78.6%,Good Match,AI Engineer,5.8,57%,100%,100%,57%,100%,100%,20%
30,CAND_0096142,78.6%,Good Match,Applied ML Engineer,5.0,57%,100%,80%,60%,100%,100%,81%
31,CAND_0081053,78.5%,Good Match,NLP Engineer,5.4,52%,100%,100%,42%,100%,100%,78%
32,CAND_0015578,78.4%,Good Match,AI Engineer,5.4,62%,100%,100%,38%,100%,100%,28%
33,CAND_0008239,78.4%,Good Match,AI Engineer,4.0,50%,100%,100%,70%,82%,100%,57%
34,CAND_0052682,78.1%,Good Match,NLP Engineer,6.6,43%,100%,100%,63%,100%,100%,72%
35,CAND_0024466,77.7%,Good Match,Search Engineer,5.2,55%,100%,100%,52%,100%,100%,20%
36,CAND_0095528,77.7%,Good Match,Senior Data Scientist,5.3,54%,100%,100%,56%,100%,100%,20%
37,CAND_0012957,77.6%,Good Match,Search Engineer,4.9,66%,100%,100%,13%,98%,100%,54%
38,CAND_0061655,77.6%,Good Match,Machine Learning Engineer,4.6,49%,100%,100%,56%,93%,100%,56%
39,CAND_0084819,77.6%,Good Match,Search Engineer,4.5,58%,100%,100%,50%,91%,70%,56%
40,CAND_0007460,77.5%,Good Match,AI Engineer,4.7,54%,100%,100%,53%,95%,80%,53%
41,CAND_0043228,77.4%,Good Match,Applied ML Engineer,6.8,64%,100%,87%,36%,100%,100%,48%
42,CAND_0077337,77.3%,Good Match,Staff Machine Learning Engineer,7.0,56%,100%,70%,72%,100%,100%,68%
43,CAND_0055905,77.2%,Good Match,Senior Machine Learning Engineer,8.1,50%,100%,87%,80%,100%,100%,20%
44,CAND_0070202,77.0%,Good Match,Machine Learning Engineer,5.1,67%,100%,100%,20%,100%,100%,20%
45,CAND_0016659,76.7%,Good Match,ML Engineer,4.4,49%,100%,100%,71%,89%,100%,13%
46,CAND_0011687,76.3%,Good Match,Senior NLP Engineer,7.8,27%,100%,100%,83%,100%,100%,76%
47,CAND_0037980,76.2%,Good Match,Senior Applied Scientist,9.0,41%,100%,100%,68%,100%,100%,31%
48,CAND_0066376,76.2%,Good Match,Applied ML Engineer,5.7,65%,100%,80%,45%,100%,100%,20%
49,CAND_0081686,76.1%,Good Match,Search Engineer,6.0,64%,100%,87%,28%,100%,100%,46%
50,CAND_0052335,76.1%,Good Match,Applied ML Engineer,6.4,51%,100%,100%,51%,100%,95%,21%
51,CAND_0086022,76.1%,Good Match,Senior Applied Scientist,5.3,42%,100%,80%,76%,100%,100%,75%
52,CAND_0099401,76.0%,Good Match,NLP Engineer,7.7,64%,100%,100%,16%,100%,100%,24%
53,CAND_0049538,76.0%,Good Match,Applied ML Engineer,5.8,41%,100%,100%,42%,100%,100%,91%
54,CAND_0005649,75.9%,Good Match,Senior Data Scientist,7.4,53%,100%,80%,46%,100%,100%,81%
55,CAND_0068811,75.6%,Good Match,Applied ML Engineer,8.0,39%,100%,100%,71%,100%,100%,23%
56,CAND_0093912,75.4%,Good Match,Senior Data Scientist,5.3,39%,100%,87%,68%,100%,95%,81%
57,CAND_0050454,75.3%,Good Match,AI Engineer,6.8,56%,100%,73%,70%,100%,100%,20%
58,CAND_0032515,75.2%,Good Match,Machine Learning Engineer,5.1,56%,100%,87%,29%,100%,100%,67%
59,CAND_0030827,75.0%,Good Match,Senior Data Scientist,5.4,61%,100%,80%,35%,100%,95%,52%
60,CAND_0074225,75.0%,Good Match,Machine Learning Engineer,4.3,54%,100%,80%,61%,87%,95%,54%
61,CAND_0064904,74.9%,Good Match,AI Engineer,4.9,45%,100%,100%,41%,98%,95%,59%
62,CAND_0051615,74.9%,Good Match,Search Engineer,4.6,34%,100%,100%,53%,93%,100%,95%
63,CAND_0060072,74.8%,Good Match,Staff Machine Learning Engineer,5.7,56%,100%,100%,0%,100%,100%,82%
64,CAND_0059017,74.8%,Good Match,AI Research Engineer,6.8,40%,100%,100%,40%,100%,100%,76%
65,CAND_0094056,74.8%,Good Match,NLP Engineer,5.9,65%,100%,80%,16%,100%,100%,65%
66,CAND_0006567,74.7%,Good Match,Senior AI Engineer,7.9,55%,100%,73%,61%,100%,100%,35%
67,CAND_0036520,74.6%,Good Match,Data Scientist,4.2,40%,100%,100%,53%,86%,100%,69%
68,CAND_0025335,74.6%,Good Match,Data Scientist,6.6,44%,100%,100%,53%,100%,100%,20%
69,CAND_0049896,74.6%,Good Match,Search Engineer,7.3,50%,100%,100%,52%,100%,70%,20%
70,CAND_0089552,74.5%,Good Match,Machine Learning Engineer,6.0,60%,100%,100%,10%,100%,95%,38%
71,CAND_0070398,74.4%,Good Match,Machine Learning Engineer,7.2,64%,100%,60%,47%,100%,100%,63%
72,CAND_0051630,74.4%,Good Match,Machine Learning Engineer,6.0,71%,100%,80%,0%,100%,95%,66%
73,CAND_0075439,74.4%,Good Match,Machine Learning Engineer,4.3,49%,100%,100%,31%,87%,95%,66%
74,CAND_0007411,74.3%,Good Match,Senior Machine Learning Engineer,8.0,43%,100%,100%,22%,100%,100%,90%
75,CAND_0017093,74.2%,Good Match,ML Engineer,5.9,36%,100%,80%,75%,100%,95%,84%
76,CAND_0091909,74.2%,Good Match,Machine Learning Engineer,6.9,52%,100%,80%,48%,100%,100%,50%
77,CAND_0053591,74.1%,Good Match,AI Engineer,5.3,38%,100%,80%,69%,100%,100%,76%
78,CAND_0098846,74.1%,Good Match,AI Engineer,7.6,28%,100%,100%,57%,100%,100%,86%
79,CAND_0009691,74.0%,Good Match,Applied ML Engineer,6.2,33%,100%,100%,56%,100%,95%,68%
80,CAND_0054546,73.9%,Good Match,AI Research Engineer,4.9,32%,100%,100%,61%,98%,80%,75%
81,CAND_0081852,73.9%,Good Match,Senior Data Scientist,5.9,26%,100%,100%,62%,100%,95%,88%
82,CAND_0045250,73.9%,Good Match,Applied ML Engineer,6.6,61%,100%,80%,45%,100%,80%,20%
83,CAND_0063736,73.9%,Good Match,Data Scientist,3.7,33%,100%,100%,70%,77%,100%,71%
84,CAND_0005260,73.9%,Good Match,Senior NLP Engineer,5.2,52%,100%,100%,27%,100%,100%,20%
85,CAND_0061352,73.7%,Good Match,ML Engineer,3.5,41%,100%,100%,56%,73%,100%,64%
86,CAND_0033445,73.6%,Good Match,ML Engineer,6.8,28%,100%,100%,82%,100%,100%,20%
87,CAND_0069905,73.5%,Good Match,Applied ML Engineer,6.6,54%,100%,73%,51%,100%,95%,45%
88,CAND_0006418,73.5%,Good Match,Machine Learning Engineer,5.7,45%,100%,80%,53%,100%,100%,60%
89,CAND_0043860,73.4%,Good Match,Junior ML Engineer,6.1,33%,100%,100%,79%,100%,75%,20%
90,CAND_0054100,73.4%,Good Match,Junior ML Engineer,6.0,24%,100%,100%,69%,100%,95%,73%
91,CAND_0093547,73.4%,Good Match,Senior Machine Learning Engineer,2.9,62%,100%,100%,15%,62%,100%,59%
92,CAND_0094759,73.2%,Good Match,Lead AI Engineer,8.6,63%,100%,73%,12%,100%,100%,76%
93,CAND_0062247,73.1%,Good Match,AI Engineer,7.3,38%,100%,80%,71%,100%,100%,53%
94,CAND_0075574,73.0%,Good Match,Machine Learning Engineer,5.7,38%,100%,87%,65%,100%,100%,38%
95,CAND_0051004,73.0%,Good Match,Senior Data Scientist,4.7,29%,100%,100%,73%,95%,100%,31%
96,CAND_0007412,72.9%,Good Match,Applied ML Engineer,7.4,41%,100%,92%,50%,100%,100%,36%
97,CAND_0098217,72.8%,Good Match,ML Engineer,6.4,27%,100%,100%,52%,100%,100%,81%
98,CAND_0028793,72.7%,Good Match,Search Engineer,7.2,50%,100%,73%,36%,100%,100%,83%
99,CAND_0010257,72.6%,Good Match,Senior Data Scientist,6.5,42%,100%,87%,49%,100%,100%,46%
100,CAND_0052328,72.6%,Good Match,Recommendation Systems Engineer,6.5,62%,50%,100%,61%,100%,100%,78%
